,URN,Station No.,Shift,Hour,Priority,Distance
80,PS-20220713-0288,2.0,Day,11,Immediate,1.9756611285327117
81,PS-20220714-2899,2.0,Day,11,Immediate,3.5677987021361397
82,PS-20220707-1251,2.0,Day,11,Immediate,4.420317265069984
83,PS-20220711-2075,2.0,Day,12,Immediate,0.6096393476886649
84,PS-20220706-1843,2.0,Day,12,Immediate,8.138695115981028
85,PS-20220712-2109,3.0,Day,12,Immediate,5.481285741888163
86,PS-20220706-2782,2.0,Day,12,Immediate,8.005502139911998
87,PS-20220713-0382,2.0,Day,12,Immediate,1.9316796920922503
88,PS-20220713-4019,3.0,Day,12,Immediate,7.9017537993863565
89,PS-20220711-3752,3.0,Day,13,Immediate,6.493229584683784
90,PS-20220712-2180,3.0,Day,13,Immediate,3.692558320764654
91,PS-20220706-1177,3.0,Day,14,Immediate,1.5182031980245867
92,PS-20220709-1284,3.0,Day,14,Immediate,2.77531104252925
93,PS-20220711-3766,2.0,Day,14,Immediate,1.0138472177558895
94,PS-20220712-2407,3.0,Day,14,Immediate,3.7082806991302255
95,PS-20220713-0912,3.0,Day,14,Immediate,1.5483391859889681
96,PS-20220707-0603,3.0,Day,14,Immediate,7.395984595127567
97,PS-20220709-4333,2.0,Day,14,Immediate,3.359640463245478
98,PS-20220715-1460,3.0,Day,14,Immediate,3.1377317786284857
99,PS-20220715-1522,2.0,Day,14,Immediate,3.445245499116389
100,PS-20220711-4201,3.0,Day,15,Immediate,5.682652334515785
101,PS-20220714-3354,2.0,Day,15,Immediate,2.5322402579518273
102,PS-20220715-1662,3.0,Day,15,Immediate,7.519687500374486
103,PS-20220706-1295,1.0,Night,16,Immediate,5.705402406661869
104,PS-20220711-4258,3.0,Night,16,Immediate,0.8228153035614885
105,PS-20220711-4300,1.0,Night,16,Immediate,5.684125413203932
106,PS-20220706-1996,2.0,Night,16,Immediate,1.793338704422739
107,PS-20220706-3012,3.0,Night,16,Immediate,1.7901121314546333
108,PS-20220706-3790,1.0,Night,16,Immediate,2.843026684066255
109,PS-20220709-3169,2.0,Night,16,Immediate,3.2364098832096757
110,PS-20220707-0725,2.0,Night,16,Immediate,3.303149846463578
111,PS-20220709-3820,1.0,Night,16,Immediate,0.7630863289321096
112,PS-20220714-3455,1.0,Night,16,Immediate,0.3974337977698468
113,PS-20220707-1542,1.0,Night,16,Immediate,3.320656168266471
114,PS-20220710-0006,2.0,Night,16,Immediate,3.318775028097884
115,PS-20220715-1912,1.0,Night,16,Immediate,0.3687774583809026
116,PS-20220715-1922,1.0,Night,16,Immediate,3.8642687161652107
117,PS-20220715-2100,1.0,Night,16,Immediate,5.360186461158842
118,PS-20220706-0455,2.0,Night,17,Immediate,3.2577354070605353
119,PS-20220706-0469,2.0,Night,17,Immediate,3.9025656673909532
120,PS-20220709-0624,1.0,Night,17,Immediate,4.253508054562137
121,PS-20220709-0727,3.0,Night,17,Immediate,0.8403256027186595
122,PS-20220712-0218,2.0,Night,17,Immediate,2.4111289592627294
123,PS-20220706-2090,3.0,Night,17,Immediate,4.182705452974666
124,PS-20220712-2759,3.0,Night,17,Immediate,8.404076602375266
125,PS-20220712-2895,2.0,Night,17,Immediate,3.5580237962341084
126,PS-20220709-2661,2.0,Night,17,Immediate,2.845911358155117
127,PS-20220709-2694,3.0,Night,17,Immediate,3.1542330886117176
128,PS-20220713-1175,3.0,Night,17,Immediate,5.22364260517517
129,PS-20220713-1204,1.0,Night,17,Immediate,1.4423467559900558
130,PS-20220713-1361,1.0,Night,17,Immediate,1.510629745791387
131,PS-20220706-3833,1.0,Night,17,Immediate,1.4039794209082515
132,PS-20220714-0699,1.0,Night,17,Immediate,3.8053788511728053
133,PS-20220707-0823,1.0,Night,17,Immediate,2.3382965362799215
134,PS-20220714-3619,3.0,Night,17,Immediate,2.142947202466162
135,PS-20220707-1599,2.0,Night,17,Immediate,5.156322886554071
136,PS-20220715-2115,2.0,Night,17,Immediate,1.2215821897150114
137,PS-20220715-2208,1.0,Night,17,Immediate,1.9227820300332743
138,PS-20220715-2218,3.0,Night,17,Immediate,1.6995381665012046
139,PS-20220715-2227,2.0,Night,17,Immediate,4.088515695499391
140,PS-20220706-0471,2.0,Night,18,Immediate,0.20830124858460564
141,PS-20220706-0484,1.0,Night,18,Immediate,0.6361061699598579
142,PS-20220706-1389,1.0,Night,18,Immediate,2.419714225445973
143,PS-20220709-1415,3.0,Night,18,Immediate,5.081703319600905
144,PS-20220712-0244,1.0,Night,18,Immediate,5.2026446670042406
145,PS-20220712-0305,1.0,Night,18,Immediate,0.6228893290420889
146,PS-20220709-2121,3.0,Night,18,Immediate,2.548028685559442
147,PS-20220712-2897,3.0,Night,18,Immediate,2.400554221738302
148,PS-20220712-2912,1.0,Night,18,Immediate,0.7980176060618934
149,PS-20220712-2917,3.0,Night,18,Immediate,1.8166891606448254
150,PS-20220706-3082,1.0,Night,18,Immediate,6.712659404996229
151,PS-20220713-1560,2.0,Night,18,Immediate,1.8472388319749935
152,PS-20220713-1626,2.0,Night,18,Immediate,4.1738186716640735
153,PS-20220707-0018,1.0,Night,18,Immediate,5.583115251208082
154,PS-20220707-0062,1.0,Night,18,Immediate,3.5330770998185304
155,PS-20220709-3185,1.0,Night,18,Immediate,6.989231262959956
156,PS-20220714-0874,1.0,Night,18,Immediate,5.3877701905718505
157,PS-20220714-0887,3.0,Night,18,Immediate,2.9985907104653324
158,PS-20220714-0984,2.0,Night,18,Immediate,1.755859221795686
159,PS-20220707-0941,3.0,Night,18,Immediate,3.8496298661639963
160,PS-20220714-3782,3.0,Night,18,Immediate,4.451117662354741
161,PS-20220714-3788,1.0,Night,18,Immediate,3.6300699116083663
162,PS-20220714-3792,1.0,Night,18,Immediate,0.8485924382232591
163,PS-20220715-2299,1.0,Night,18,Immediate,1.8420685993688284
164,PS-20220706-0531,3.0,Night,19,Immediate,0.9396288039183789
165,PS-20220709-0740,1.0,Night,19,Immediate,5.274844242974343
166,PS-20220709-1478,1.0,Night,19,Immediate,3.893886484502821
167,PS-20220712-0449,1.0,Night,19,Immediate,2.801231103600916
168,PS-20220712-3046,1.0,Night,19,Immediate,2.9876137390978132
169,PS-20220706-3120,2.0,Night,19,Immediate,3.856549279530901
170,PS-20220706-3132,1.0,Night,19,Immediate,1.9957765968715357
171,PS-20220713-1850,2.0,Night,19,Immediate,4.270768857691032
172,PS-20220714-1045,1.0,Night,19,Immediate,0.9920884207755584
173,PS-20220714-1055,1.0,Night,19,Immediate,5.802246700797782
174,PS-20220714-1097,3.0,Night,19,Immediate,6.112665670178594
175,PS-20220714-1127,2.0,Night,19,Immediate,4.987918879858247
176,PS-20220714-1153,1.0,Night,19,Immediate,3.1148774764174183
177,PS-20220714-1168,1.0,Night,19,Immediate,3.1508631593878205
178,PS-20220709-3869,3.0,Night,19,Immediate,0.9992656365329193
179,PS-20220714-3814,3.0,Night,19,Immediate,1.6253706534173415
180,PS-20220714-3855,1.0,Night,19,Immediate,2.1251295618108603
181,PS-20220707-1695,1.0,Night,19,Immediate,4.799800696458462
182,PS-20220715-2362,3.0,Night,19,Immediate,5.49496189135373
183,PS-20220712-0536,2.0,Night,20,Immediate,1.418567243941366
184,PS-20220712-0596,2.0,Night,20,Immediate,2.630812171317216
185,PS-20220713-2047,3.0,Night,20,Immediate,0.48119997175045087
186,PS-20220714-1198,3.0,Night,20,Immediate,7.790782336278386
187,PS-20220715-0043,3.0,Night,20,Immediate,1.0886932841543417
188,PS-20220715-0101,3.0,Night,20,Immediate,3.578178801489665
189,PS-20220707-1812,2.0,Night,20,Immediate,0.510845753535179
190,PS-20220715-2684,2.0,Night,20,Immediate,2.5071725821015227
191,PS-20220715-2836,3.0,Night,20,Immediate,0.8517401537910049
192,PS-20220710-4173,3.0,Night,21,Immediate,5.185715160964734
193,PS-20220709-2170,2.0,Night,21,Immediate,1.5209881180417337
194,PS-20220706-3252,3.0,Night,21,Immediate,3.530933295190441
195,PS-20220713-2179,3.0,Night,21,Immediate,3.4773500935356765
196,PS-20220707-0270,2.0,Night,21,Immediate,6.260384174972174
197,PS-20220707-0295,3.0,Night,21,Immediate,1.0498701836070696
198,PS-20220714-1358,3.0,Night,21,Immediate,5.066897896556693
199,PS-20220715-2887,2.0,Night,21,Immediate,0.0
200,PS-20220709-0831,3.0,Night,22,Immediate,4.1236849286015484
201,PS-20220711-2513,2.0,Night,22,Immediate,5.732038094533004
202,PS-20220709-1618,3.0,Night,22,Immediate,5.555316008220533
